20 0 0 1 0 
40 0 0.333333 0.333333 0.333333 
60 0 0.25 0.5 0.25 
80 0 0.25 0.5 0.25 
100 0 0.25 0.5 0.25 
120 0 0.25 0.5 0.25 
140 0 0.25 0.5 0.25 
160 0 0.285714 0.571429 0.142857 
180 0.125 0.125 0.375 0.375 
200 0.111111 0.333333 0.222222 0.333333 
220 0.222222 0.222222 0.222222 0.333333 
240 0.222222 0.222222 0.222222 0.333333 
260 0.222222 0.222222 0.222222 0.333333 
280 0.181818 0.181818 0.181818 0.454545 
300 0.25 0.166667 0.25 0.333333 
320 0.230769 0.153846 0.307692 0.307692 
340 0.176471 0.235294 0.235294 0.352941 
360 0.210526 0.210526 0.315789 0.263158 
380 0.217391 0.26087 0.26087 0.26087 
400 0.2 0.24 0.28 0.28 
420 0.214286 0.214286 0.285714 0.285714 
440 0.241379 0.241379 0.241379 0.275862 
460 0.21875 0.28125 0.21875 0.28125 
480 0.228571 0.228571 0.257143 0.285714 
500 0.236842 0.263158 0.236842 0.263158 
520 0.219512 0.268293 0.243902 0.268293 
540 0.26087 0.26087 0.217391 0.26087 
560 0.264151 0.264151 0.226415 0.245283 
580 0.288136 0.220339 0.237288 0.254237 
600 0.238806 0.283582 0.223881 0.253731 
620 0.233766 0.25974 0.25974 0.246753 
640 0.267442 0.232558 0.267442 0.232558 
660 0.257426 0.257426 0.257426 0.227723 
680 0.265487 0.238938 0.256637 0.238938 
700 0.290076 0.244275 0.229008 0.236641 
720 0.27027 0.256757 0.243243 0.22973 
740 0.286585 0.25 0.231707 0.231707 
760 0.252632 0.268421 0.236842 0.242105 
780 0.236111 0.268519 0.25 0.24537 
800 0.243028 0.239044 0.270916 0.247012 
820 0.252708 0.249097 0.238267 0.259928 
840 0.254777 0.232484 0.248408 0.264331 
860 0.243626 0.23796 0.252125 0.266289 
880 0.249389 0.249389 0.254279 0.246944 
900 0.239829 0.250535 0.265525 0.244111 
920 0.251894 0.246212 0.255682 0.246212 
940 0.241776 0.258224 0.251645 0.248355 
960 0.247423 0.251841 0.253314 0.247423 
980 0.256649 0.243351 0.25 0.25 
1000 0.242353 0.256471 0.251765 0.249412 
1020 0.251799 0.250771 0.252826 0.244604 
1040 0.249084 0.247253 0.249084 0.254579 
1060 0.242892 0.247766 0.254265 0.255077 
1080 0.240232 0.241679 0.258321 0.259768 
1100 0.241905 0.254603 0.248254 0.255238 
1120 0.242323 0.249023 0.250698 0.257956 
1140 0.248031 0.247047 0.251969 0.252953 
1160 0.250647 0.245902 0.250216 0.253236 
1180 0.245154 0.250095 0.255036 0.249715 
1200 0.249329 0.245302 0.253691 0.251678 
1220 0.251854 0.251557 0.248888 0.247701 
1240 0.252753 0.249869 0.248296 0.249082 
1260 0.24884 0.250232 0.248145 0.252783 
1280 0.248977 0.249795 0.249386 0.251841 
1300 0.24791 0.246819 0.25518 0.250091 
1320 0.245563 0.250448 0.250936 0.253053 
1340 0.249097 0.249675 0.250542 0.250686 
1360 0.248464 0.252944 0.249744 0.248848 
1380 0.248726 0.252803 0.250651 0.24782 
1400 0.251471 0.24838 0.251072 0.249078 
1420 0.248374 0.250659 0.248813 0.252153 
1440 0.248148 0.250643 0.249396 0.251813 
1460 0.250327 0.247777 0.250603 0.251292 
1480 0.25 0.249634 0.249695 0.250671 
1500 0.249337 0.248742 0.249608 0.252313 
1520 0.248851 0.248469 0.250909 0.251771 
1540 0.248369 0.249979 0.250064 0.251589 
1560 0.248616 0.249551 0.250561 0.251272 
1580 0.250298 0.248347 0.250562 0.250794 
1600 0.248163 0.251618 0.249363 0.250856 
1620 0.249728 0.24965 0.249495 0.251127 
1640 0.249168 0.250338 0.249719 0.250774 
1660 0.248904 0.249371 0.251745 0.24998 
1680 0.248354 0.250381 0.249448 0.251817 
1700 0.248585 0.249283 0.251027 0.251106 
1720 0.250515 0.249562 0.249856 0.250067 
1740 0.250533 0.250124 0.248922 0.250421 
1760 0.250288 0.250058 0.250343 0.249312 
1780 0.249702 0.250729 0.24977 0.249799 
1800 0.249441 0.250761 0.249844 0.249955 
1820 0.249833 0.250084 0.249985 0.250099 
1840 0.249619 0.249653 0.250451 0.250277 
1860 0.248514 0.250796 0.249646 0.251045 
1880 0.249356 0.249544 0.250571 0.250529 
1900 0.249238 0.250024 0.250311 0.250427 
1920 0.249152 0.249536 0.250591 0.250721 
1940 0.249134 0.249799 0.250099 0.250967 
1960 0.24915 0.249748 0.250575 0.250527 
1980 0.249151 0.250284 0.249979 0.250586 
2000 0.249482 0.249889 0.250401 0.250229 
2020 0.249641 0.249886 0.249855 0.250619 
2040 0.249927 0.249691 0.250134 0.250247 
2060 0.249735 0.250099 0.250279 0.249887 
2080 0.250016 0.250082 0.249873 0.250029 
2100 0.250023 0.249993 0.250083 0.249901 
2120 0.250222 0.250111 0.249904 0.249763 
2140 0.250306 0.250364 0.249719 0.24961 
2160 0.250418 0.250204 0.249872 0.249507 
2180 0.250329 0.250055 0.249804 0.249813 
2200 0.250181 0.2503 0.249823 0.249696 
2220 0.250114 0.250212 0.250071 0.249603 
2240 0.250271 0.249898 0.249898 0.249933 
2260 0.249959 0.250019 0.249983 0.250039 
2280 0.249858 0.250135 0.249937 0.25007 
2300 0.24987 0.249805 0.250129 0.250196 
2320 0.249986 0.2499 0.250042 0.250073 
2340 0.249905 0.250087 0.250015 0.249993 
2360 0.249997 0.250016 0.249941 0.250045 
2380 0.249979 0.249948 0.250147 0.249927 
2400 0.249916 0.250017 0.25006 0.250007 
2420 0.249888 0.249969 0.250108 0.250035 
2440 0.249992 0.249953 0.250029 0.250026 
2460 0.249908 0.250108 0.249958 0.250026 
2480 0.249982 0.249973 0.249959 0.250087 
2500 0.249892 0.250023 0.250023 0.250062 
