20 0 1 
40 0 1 
60 0 1 
80 0 1 
100 0 1 
120 0 1 
140 0 1 
160 0 1 
180 0 1 
200 0 1 
220 0 1 
240 0.5 0.5 
260 0.5 0.5 
280 0.5 0.5 
300 0.5 0.5 
320 0.5 0.5 
340 0.5 0.5 
360 0.5 0.5 
380 0.333333 0.666667 
400 0.333333 0.666667 
420 0.333333 0.666667 
440 0.25 0.75 
460 0.5 0.5 
480 0.6 0.4 
500 0.6 0.4 
520 0.6 0.4 
540 0.6 0.4 
560 0.6 0.4 
580 0.6 0.4 
600 0.5 0.5 
620 0.428571 0.571429 
640 0.5 0.5 
660 0.545455 0.454545 
680 0.5 0.5 
700 0.533333 0.466667 
720 0.533333 0.466667 
740 0.529412 0.470588 
760 0.526316 0.473684 
780 0.5 0.5 
800 0.454545 0.545455 
820 0.5 0.5 
840 0.535714 0.464286 
860 0.5 0.5 
880 0.5 0.5 
900 0.513514 0.486486 
920 0.477273 0.522727 
940 0.45283 0.54717 
960 0.460317 0.539683 
980 0.5 0.5 
1000 0.516854 0.483146 
1020 0.48 0.52 
1040 0.522124 0.477876 
1060 0.503937 0.496063 
1080 0.485714 0.514286 
1100 0.480263 0.519737 
1120 0.5 0.5 
1140 0.512195 0.487805 
1160 0.513393 0.486607 
1180 0.492126 0.507874 
1200 0.505263 0.494737 
1220 0.49226 0.50774 
1240 0.505525 0.494475 
1260 0.503797 0.496203 
1280 0.492205 0.507795 
1300 0.48996 0.51004 
1320 0.499102 0.500898 
1340 0.501623 0.498377 
1360 0.494169 0.505831 
1380 0.498708 0.501292 
1400 0.501726 0.498274 
1420 0.493902 0.506098 
1440 0.498664 0.501336 
1460 0.5 0.5 
1480 0.494052 0.505948 
1500 0.490831 0.509169 
1520 0.498655 0.501345 
1540 0.502638 0.497362 
1560 0.501901 0.498099 
1580 0.501895 0.498105 
1600 0.502518 0.497482 
1620 0.499256 0.500744 
1640 0.504467 0.495533 
1660 0.496497 0.503503 
1680 0.497928 0.502072 
1700 0.497064 0.502936 
1720 0.502537 0.497463 
1740 0.502024 0.497976 
1760 0.498025 0.501975 
1780 0.500113 0.499887 
1800 0.5018 0.4982 
1820 0.501281 0.498719 
1840 0.500039 0.499961 
1860 0.496563 0.503437 
1880 0.501509 0.498491 
1900 0.499268 0.500732 
1920 0.501227 0.498773 
1940 0.502165 0.497835 
1960 0.501051 0.498949 
1980 0.499534 0.500466 
2000 0.499751 0.500249 
2020 0.497379 0.502621 
2040 0.500241 0.499759 
2060 0.500051 0.499949 
2080 0.500351 0.499649 
2100 0.501011 0.498989 
2120 0.500295 0.499705 
2140 0.500566 0.499434 
2160 0.499471 0.500529 
2180 0.500627 0.499373 
2200 0.499776 0.500224 
2220 0.500682 0.499318 
2240 0.500024 0.499976 
2260 0.500375 0.499625 
2280 0.500155 0.499845 
2300 0.500077 0.499923 
2320 0.499831 0.500169 
2340 0.499967 0.500033 
2360 0.499035 0.500965 
2380 0.49999 0.50001 
2400 0.499542 0.500458 
2420 0.499548 0.500452 
2440 0.49969 0.50031 
2460 0.500104 0.499896 
2480 0.500198 0.499802 
2500 0.500061 0.499939 
