20 0 0 0 0 1 0 0 0 
40 0 0 0 0 1 0 0 0 
60 0 0 0 0 1 0 0 0 
80 0 0 0 0 1 0 0 0 
100 0 0 0 0 1 0 0 0 
120 0 0 0 0 1 0 0 0 
140 0 0 0 0 0.5 0.5 0 0 
160 0 0 0 0 0.5 0.5 0 0 
180 0 0 0 0 0.5 0.5 0 0 
200 0 0 0 0 0.5 0.5 0 0 
220 0 0 0 0 0.5 0.5 0 0 
240 0 0 0 0 0.5 0.5 0 0 
260 0 0 0 0 0.333333 0.666667 0 0 
280 0 0 0 0 0.25 0.5 0.25 0 
300 0 0 0 0 0.2 0.4 0.4 0 
320 0 0 0 0 0.2 0.4 0.2 0.2 
340 0 0 0 0 0.2 0.4 0.2 0.2 
360 0 0 0 0 0.2 0.4 0.2 0.2 
380 0 0 0 0 0.2 0.4 0.2 0.2 
400 0 0 0 0 0.2 0.4 0.2 0.2 
420 0 0 0 0 0.2 0.4 0.2 0.2 
440 0 0 0 0 0.166667 0.333333 0.166667 0.333333 
460 0 0 0 0 0.142857 0.285714 0.285714 0.285714 
480 0 0 0 0 0.111111 0.222222 0.222222 0.444444 
500 0 0 0 0 0.1 0.2 0.4 0.3 
520 0 0 0 0 0.1 0.3 0.3 0.3 
540 0 0 0 0 0.2 0.2 0.3 0.3 
560 0 0 0 0.0909091 0.0909091 0.181818 0.363636 0.272727 
580 0 0 0 0.153846 0.0769231 0.307692 0.230769 0.230769 
600 0 0 0.0769231 0.0769231 0.153846 0.230769 0.230769 0.230769 
620 0 0 0.0769231 0.0769231 0.153846 0.230769 0.230769 0.230769 
640 0 0 0.0666667 0.0666667 0.133333 0.266667 0.266667 0.2 
660 0 0 0.0526316 0.0526316 0.263158 0.157895 0.263158 0.210526 
680 0 0 0.047619 0.0952381 0.190476 0.190476 0.285714 0.190476 
700 0 0 0.0454545 0.136364 0.136364 0.181818 0.272727 0.227273 
720 0 0 0.0869565 0.0869565 0.130435 0.26087 0.217391 0.217391 
740 0 0.0384615 0.0384615 0.0769231 0.230769 0.230769 0.192308 0.192308 
760 0 0.0645161 0.0322581 0.16129 0.129032 0.193548 0.225806 0.193548 
780 0.027027 0.027027 0.135135 0.0810811 0.162162 0.135135 0.243243 0.189189 
800 0.025 0.05 0.075 0.125 0.125 0.15 0.2 0.25 
820 0.0222222 0.0444444 0.0888889 0.111111 0.111111 0.222222 0.177778 0.222222 
840 0.0204082 0.0612245 0.102041 0.102041 0.142857 0.183673 0.183673 0.204082 
860 0.0344828 0.0689655 0.0689655 0.103448 0.137931 0.137931 0.172414 0.275862 
880 0.0666667 0.05 0.0833333 0.1 0.133333 0.15 0.2 0.216667 
900 0.0714286 0.0571429 0.0714286 0.142857 0.114286 0.157143 0.185714 0.2 
920 0.0909091 0.0649351 0.0909091 0.0909091 0.12987 0.155844 0.181818 0.194805 
940 0.0752688 0.0645161 0.0752688 0.0967742 0.11828 0.182796 0.204301 0.182796 
960 0.0686275 0.0588235 0.0882353 0.107843 0.176471 0.147059 0.176471 0.176471 
980 0.0810811 0.0810811 0.0810811 0.117117 0.135135 0.162162 0.18018 0.162162 
1000 0.0692308 0.0769231 0.0846154 0.0923077 0.146154 0.161538 0.2 0.169231 
1020 0.0633803 0.0704225 0.0774648 0.112676 0.133803 0.169014 0.183099 0.190141 
1040 0.0691824 0.0691824 0.0943396 0.100629 0.138365 0.163522 0.169811 0.194969 
1060 0.0611111 0.0777778 0.0944444 0.122222 0.127778 0.15 0.183333 0.183333 
1080 0.062201 0.076555 0.105263 0.119617 0.143541 0.162679 0.167464 0.162679 
1100 0.0720339 0.0805085 0.101695 0.118644 0.148305 0.144068 0.169492 0.165254 
1120 0.0797101 0.0869565 0.0869565 0.126812 0.123188 0.17029 0.148551 0.177536 
1140 0.0776699 0.0809061 0.106796 0.116505 0.145631 0.139159 0.161812 0.171521 
1160 0.0771429 0.0971429 0.0914286 0.134286 0.12 0.157143 0.148571 0.174286 
1180 0.0848329 0.0822622 0.118252 0.107969 0.131105 0.141388 0.161954 0.172237 
1200 0.0831461 0.0921348 0.0966292 0.116854 0.123596 0.150562 0.175281 0.161798 
1220 0.0936255 0.0876494 0.103586 0.10757 0.141434 0.14741 0.161355 0.157371 
1240 0.0852174 0.10087 0.102609 0.132174 0.125217 0.146087 0.149565 0.158261 
1260 0.0964778 0.104135 0.113323 0.114855 0.130168 0.14242 0.150077 0.148545 
1280 0.0966851 0.107735 0.104972 0.122928 0.127072 0.140884 0.149171 0.150552 
1300 0.100124 0.0964153 0.116193 0.124845 0.134734 0.137206 0.148331 0.142151 
1320 0.106593 0.101099 0.115385 0.130769 0.125275 0.135165 0.13956 0.146154 
